"","id","description"
"3466","numsport","How many R belongs to sports groups"
"3467","numyouth","How many R belongs to youth groups"
"3468","numschl","How many R belongs to school service groups"
"3469","numhobby","How many R belongs to hobby clubs"
"3470","numgreek","How many R belongs to school fraternities"
"3471","numnat","How many R belongs to nationality groups"
"3472","numfarm","How many R belongs to farm organizations"
"3473","numlit","How many R belongs to literary groups"
"3474","numprof","How many R belongs to professional societies"
"3475","numchurh","How many R belongs to church affiliate groups"
"3476","numother","How many R belongs to other groups"
"3477","numinfrm","How many R belongs to informal groups"
"3478","yrfrat1","How many yrs R been a member of fraternal groups1"
"3479","yrfrat2","How many yrs R been a member of fraternal groups2"
"3480","yrfrat3","How many yrs R been a member of fraternal groups3"
"3481","yrfrat4","How many yrs R been a member of fraternal groups4"
"3482","yrserv1","How many years R been a member of service club1"
"3483","yrserv2","How many years R been a member of service club2"
"3484","yrserv3","How many years R been a member of service club3"
"3485","yrserv4","How many years R been a member of service club4"
"3486","yrserv5","How many years R been a member of service club5"
"3487","yrserv6","How many years R been a member of service club6"
"3488","yrserv7","How many years R been a member of service club7"
"3489","yrserv8","How many years R been a member of service club8"
"3490","yrvet1","How many years R been a member of veteran groups1"
"3491","yrvet2","How many years R been a member of veteran groups2"
"3492","yrvet3","How many years R been a member of veteran groups3"
"3493","yrvet4","How many years R been a member of veteran groups4"
"3494","yrvet5","How many years R been a member of veteran groups5"
"3495","yrpolit1","How many years R been a member of political club1"
"3496","yrpolit2","How many years R been a member of political club2"
"3497","yrpolit3","How many years R been a member of political club3"
"3498","yrunion1","How many years R born a member of labor union1"
"3499","yrunion2","How many years R born a member of labor union2"
"3500","yrunion3","How many years R born a member of labor union3"
"3501","yrunion4","How many years R born a member of labor union4"
"3502","yrsport1","How many years R born a member of sports groups1"
"3503","yrsport2","How many years R born a member of sports groups2"
"3504","yrsport3","How many years R born a member of sports groups3"
"3505","yrsport4","How many years R born a member of sports groups4"
"3506","yrsport5","How many years R born a member of sports groups5"
"3507","yrsport6","How many years R born a member of sports groups6"
"3508","yryouth1","How many years R born a member of youth groups1"
"3509","yryouth2","How many years R born a member of youth groups2"
"3510","yryouth3","How many years R born a member of youth groups3"
"3511","yryouth4","How many years R born a member of youth groups4"
"3512","yryouth5","How many years R born a member of youth groups5"
"3513","yrschl1","How many years R born a member of school service group1"
"3514","yrschl2","How many years R born a member of school service group2"
"3515","yrschl3","How many years R born a member of school service group3"
"3516","yrschl4","How many years R born a member of school service group4"
"3517","yrhobby1","How many years R born a member of hobby club1"
"3518","yrhobby2","How many years R born a member of hobby club1"
"3519","yrhobby3","How many years R born a member of hobby club1"
"3520","yrgreek1","How many years R born a member of school fraternity1"
"3521","yrgreek2","How many years R born a member of school fraternity2"
"3522","yrgreek3","How many years R born a member of school fraternity3"
"3523","yrnat1","How many years R born a member of national group1"
"3524","yrnat2","How many years R born a member of national group2"
"3525","yrnat3","How many years R born a member of national group3"
"3526","yrfarm1","How many years R born a member of farm organization1"
"3527","yrfarm2","How many years R born a member of farm organization2"
"3528","yrfarm3","How many years R born a member of farm organization3"
"3529","yrlit1","How many years R born a member of literary group1"
"3530","yrlit2","How many years R born a member of literary group2"
"3531","yrlit3","How many years R born a member of literary group3"
"3532","yrlit4","How many years R born a member of literary group4"
"3533","yrprof1","How many years R born a member of professional society1"
"3534","yrprof2","How many years R born a member of professional society2"
"3535","yrprof3","How many years R born a member of professional society3"
"3536","yrprof4","How many years R born a member of professional society4"
"3537","yrprof5","How many years R born a member of professional society5"
"3538","yrprof6","How many years R born a member of professional society6"
"3539","yrchurh1","How many years R born a member of church group1"
"3540","yrchurh2","How many years R born a member of church group2"
"3541","yrchurh3","How many years R born a member of church group3"
"3542","yrchurh4","How many years R born a member of church group4"
"3543","yrchurh5","How many years R born a member of church group5"
"3544","yrchurh6","How many years R born a member of church group6"
"3545","yrother1","How many years R born a member of other group1"
"3546","yrother2","How many years R born a member of other group2"
"3547","yrother3","How many years R born a member of other group3"
"3548","yrother4","How many years R born a member of other group4"
"3549","yrother5","How many years R born a member of other group5"
"3550","yrinfrm1","How many years R born a member of informal group1"
"3551","yrinfrm2","How many years R born a member of informal group2"
"3552","yrinfrm3","How many years R born a member of informal group3"
"3553","yrinfrm4","How many years R born a member of informal group4"
"3554","yrinfrm5","How many years R born a member of informal group5"
"3555","mtfrat1","How many years R born a member of fraternity group1"
"3556","mtfrat2","How many years R born a member of fraternity group2"
"3557","mtfrat3","How many years R born a member of fraternity group3"
"3558","mtfrat4","How many years R born a member of fraternity group4"
"3559","mtserv1","Service club1 meets in this area"
"3560","mtserv2","Service club2 meets in this area"
"3561","mtserv3","Service club3 meets in this area"
"3562","mtserv4","Service club4 meets in this area"
"3563","mtserv5","Service club5 meets in this area"
"3564","mtserv6","Service club6 meets in this area"
"3565","mtserv7","Service club7 meets in this area"
"3566","mtserv8","Service club8 meets in this area"
"3567","mtvet1","Veteran group1 meets in this area"
"3568","mtvet2","Veteran group2 meets in this area"
"3569","mtvet3","Veteran group3 meets in this area"
"3570","mtvet4","Veteran group4 meets in this area"
"3571","mtvet5","Veteran group5 meets in this area"
"3572","mtpolit1","Political club1 meets in this area"
"3573","mtpolit2","Political club2 meets in this area"
"3574","mtpolit3","Political club3 meets in this area"
"3575","mtunion1","Labor union1 meets in this area"
"3576","mtunion2","Labor union2 meets in this area"
"3577","mtunion3","Labor union3 meets in this area"
"3578","mtunion4","Labor union4 meets in this area"
"3579","mtsport1","Sport club1 meets in this area"
"3580","mtsport2","Sport club2 meets in this area"
"3581","mtsport3","Sport club3 meets in this area"
"3582","mtsport4","Sport club4 meets in this area"
"3583","mtsport5","Sport club5 meets in this area"
"3584","mtsport6","Sport club6 meets in this area"
"3585","mtyouth1","Youth group1 meets in this area"
"3586","mtyouth2","Youth group2 meets in this area"
"3587","mtyouth3","Youth group3 meets in this area"
"3588","mtyouth4","Youth group4 meets in this area"
"3589","mtyouth5","Youth group5 meets in this area"
"3590","mtschl1","School service group1 meets in this area"
"3591","mtschl2","School service group2 meets in this area"
"3592","mtschl3","School service group3 meets in this area"
"3593","mtschl4","School service group4 meets in this area"
"3594","mthobby1","Hobby club1 meets in this area"
"3595","mthobby2","Hobby club2 meets in this area"
"3596","mthobby3","Hobby club3 meets in this area"
"3597","mtgreek1","School frarternity1 meets in this area"
"3598","mtgreek2","School frarternity2 meets in this area"
"3599","mtgreek3","School frarternity3 meets in this area"
"3600","mtnat1","Nationality group1 meets in this area"
"3601","mtnat2","Nationality group2 meets in this area"
"3602","mtnat3","Nationality group3 meets in this area"
"3603","mtfarm1","Farm organization1 meets in this area"
"3604","mtfarm2","Farm organization2 meets in this area"
"3605","mtfarm3","Farm organization3 meets in this area"
"3606","mtlit1","Military group1 meets in this area"
"3607","mtlit2","Military group2 meets in this area"
"3608","mtlit3","Military group3 meets in this area"
